cuvant,definitie,parte_de_vorbire,frecventa
înrudire,Legătură directă sau colaterală între persoane care fac parte din aceeași familie,substantiv,26
magnolie,"Nume dat unor arbori exotici cu flori frumoase mari, albe sau roșii, plăcut mirositoare, ale căror frunze sunt (la unele specii) întotdeauna verzi, cultivați ca plante decorative.",substantiv,26
admirativ,De o manieră plină de admirație,adverb,26
scorneală,"Afirmație care susține ca adevărate lucruri inexistente, imaginare, mincinoase",substantiv,26
optimiza,"A face ca randamentul unei mașini, al unui sistem tehnic etc. să fie optim, să corespundă unor exigențe sporite",verb,26
izbăvitor,"Care mântuie, izbăvește (de păcate)",adjectiv,26
monocromatic,care are o singură culoare,adjectiv,26
alfanumeric,care utilizează literele unui alfabet și cifrele unui sistem numeric,adjectiv,26
deceda,"A înceta de a mai trăi, de a mai fi în viață",verb,26
scindat,Cu unitatea distrusă,adjectiv,26
evocator,"Care are darul de a evoca , de a da viață, de a rechema în amintire",adjectiv,26
aboli,A face ca ceva să nu mai existe.,verb,26
compacta,a bate cu un compactor,verb,26
cutanat,referitor la piele,adjectiv,26
pliabil,"Care poate fi pliat, ușor de pliat.",adjectiv,26
coroiat,"Încovoiat cu vârful în jos, adus",adjectiv,26
extatic,mișcat profund,adjectiv,26
raționament,"Înlănțuire logică de judecăți, care duce la o concluzie;",substantiv,25
havană,"țigară de foi fabricată din tutun de calitate superioară, provenit din Cuba.",substantiv,25
megalomanie,"stare psihică patologică întâlnită în unele boli mintale și manifestată prin delir de grandoare, asociat cu delir de persecuție",substantiv,25
cositoare,Mașină cu care se cosește iarba sau se tunde gazonul.,substantiv,25
pagodă,"Templu hindus, budist sau brahman la unele popoare din Orient, în formă de turn piramidal, compus din mai multe etaje suprapuse, care se retrag succesiv și ale căror streșini sunt întoarse în sus.",substantiv,25
mops,"Câine de statură mică, cu capul mare, pătrat, cu botul turtit, cu părul scurt și neted",substantiv,25
regată,"denumire dată unei competiții sportive nautice (caiac, canoe, iahting, canotaj) în ansamblul ei tehnic",substantiv,25
pețitor,"persoană care, în numele unui bărbat, cere în căsătorie o fată, e obicei adresându-se părinților sau rudelor acesteia",substantiv,25
cățel,(prin extensiune) pui de animal sălbatic (asemănător cu câinele).,substantiv,25
copist,"cel care copia acte, opere manuscrise etc.",substantiv,25
geamgiu,Persoană care montează sau vinde geamuri.,substantiv,25
laț,"Nod larg la capătul unei sfori, întocmit în așa fel încât să se poată strânge în jurul unui punct fix",substantiv,25
logos,"Termen folosit în filozofia materialistă antică pentru a denumi ordinea cosmică, rațiunea cosmică sau destinul, o ipostază a divinității, cuvântul divin.",substantiv,25
dispensare,Acțiunea de a se dispensa,substantiv,25
capabilitate,Însușirea de a fi capabil,substantiv,25
necultivat,"Persoană incultă, fără cunoștințe elementare.",substantiv,25
panaceu,Medicament despre care se credea odinioară că vindecă orice boală.,substantiv,25
decolora,A face să-și piardă culoarea sau să și-o schimbe.,verb,25
asexual,indiferent față de relațiile sexuale,adjectiv,25
furou,Cămașă de zi femeiască,substantiv,25
anexare,Acțiunea de a anexa,substantiv,25
porție,"Cantitate determinată dintr-o substanță, dintr-un material etc. care produce un anumit efect sau care formează împreună cu altele un amestec, un tot.",substantiv,25
instrumentar,Totalitatea instrumentelor într-un laborator științific.,substantiv,25
vioiciune,stare de activitate generală și de mișcare,substantiv,25
pretenție,Revendicare a unui drept,substantiv,25
montură,mod de fixare a pietrelor prețioase într-o bijuterie; garnitură de metal care fixează o piatră prețioasă într-o bijuterie sau care adăpostește mecanismul unui ceasornic,substantiv,25
încredința,"a pune (autoritate, proprietate sau drepturi) sub controlul unei persoane sau al unui grup de persoane",verb,25
reasigura,A reînnoi o asigurare,verb,25
înverșunare,"fermitate de neclintit, fără compromisuri",substantiv,25
smuci,"A (se) împinge cu violență, a (-și) da brânci.",verb,25
nițel,În mică măsură,adverb,25
hărțui,"A desfășura atacuri scurte și repetate asupra inamicului cu scopul de a-i provoca panică și de a nu-i permite deplasarea, pregătirea unor acțiuni de luptă, aprovizionarea etc.",verb,25
însărcina,A încredința cuiva îndeplinirea unei acțiuni,verb,25
asfințit,Trecerea unui astru sub orizont,substantiv,25
proptea,"parte componentă a unei structuri utilizată pentru a rigidiza sau întări un cadru, un schelet",substantiv,25
plesnitură,spărtură ce nu s-a soldat cu separarea obiectului în părți diferite,substantiv,25
cristalizare,Formarea de cristale.,substantiv,25
inadaptabil,cineva incapabil să se adapteze la circumstanțe.,substantiv,25
creștinism,Ansamblul religiilor la baza cărora se află credința în persoana și învățăturile lui Iisus Cristos.,substantiv,25
celt,Persoană făcând parte dintr-o veche populație europeană care a locuit în Galia (de unde s-a extins apoi și în alte regiuni),substantiv,25
polcă,"dans popular de perechi, originar din Boemia, vioi, însoțit de mici salturi, devenit dans de bal",substantiv,25
succesoare,Femeie care moștenește pe cineva.,substantiv,25
prezervare,acțiunea de a proteja ceva împotriva pericolelor sau a disparițiilor,substantiv,25
naturalizare,obținerea cetățeniei unui stat pe baza recunoașterii unui drept special,substantiv,25
neandertalian,individ care aparține speciei umane fosile de Neandertal,substantiv,25
echipare,Faptul de a (se) îmbrăca,substantiv,25
propagandist,cel care face propagandă,substantiv,25
nabab,Epitet pentru o persoană foarte bogată,substantiv,25
geopolitică,Teorie care susține că politica unui stat ar fi determinată de situația sa geografică,substantiv,25
micron,Unitate de măsură pentru lungime egală cu a mia parte dintr-un milimetru,substantiv,25
tanchist,militar dintr-o unitate de tancuri,substantiv,25
rapsodie,(În Grecia antică) Fragment dintr-un poem epic recitat de rapsozi,substantiv,25
cinabru,"Sulfură roșie de mercur pulverizată, folosită în pictura de ulei drept culoare roșu-intens",substantiv,25
țiuit,"senzație auditivă patologică, prin zgomote, vâjâituri în urechi, fără un sistem extern",substantiv,25
sinapsă,zonă de contact între doi neuroni,substantiv,25
esplanadă,suprafață pavată pe care se poate merge de-a lungul țărmului unei mări,substantiv,25
iconografie,"Totalitatea imaginilor documentare referitoare la o epocă, la o problemă, la o localitate etc.",substantiv,25
acetaminofen,Analgezic ușor,substantiv,25
antimoniu,"metaloid alb-cenușiu cu aspect metalic, folosit în aliaje",substantiv,25
înnegri,"A vopsi, a da cu negru",verb,25
lasagne,"Paste făinoase dreptunghiulare, 8, 5x17, 5 cm",substantiv,25
poliglot,Persoană care vorbește mai multe limbi,substantiv,25
cimenta,"A acoperi cu un strat de mortar (pentru a lega trainic, pentru a face durabil",verb,25
ganglion,"Formație anatomică de formă sferică sau alungită, alcătuită dintr-o masă de celule și situată pe traiectul unui nerv sau al unui vas limfatic",substantiv,25
locativ,"Caz al flexiunii nominale în unele limbi, care arată locul unde se petrece acțiunea verbului.",substantiv,25
surclasa,"(sport) a depăși, a întrece un adversar, dovedind o superioritate netă",verb,25
tricolor,Drapel cu trei culori,substantiv,25
sulfamidă,"medicament dintr-o serie de substanțe organice cu bază de sulf, cu acțiune antiinfecțioasă, antidiabetică și diuretică",substantiv,25
smiorcăială,Faptul de a (se) smiorcăi,substantiv,25
cement,substanță la rădăcina dintelui,substantiv,25
paliativ,"Medicament sau tratament care ameliorează sau care înlătură simptomele unei boli pentru un timp scurt, fără să suprime cauza bolii.",substantiv,25
altoi,A introduce o ramură a unei plante în țesutul alteia,verb,25
minia,a ilustra cu miniaturi,verb,25
viespar,(figurativ) Mulțime de ființe care mișună,substantiv,25
asupri,"A asupri, a prigoni, a oprima, a împila, a lua măsuri opresive",verb,25
broda,A coase o broderie pe un material textil,verb,25
carierist,"persoană care caută să parvină, prin orice mijloace",substantiv,25
palatin,principe posesor al unui palatinat,substantiv,25
răgușit,(despre zgomote) Care este neplăcut și strident,adjectiv,25
defetist,Partizan al defetismului.,substantiv,25
berlinez,Locuitor sau nativ al Berlinului,substantiv,25
ipohondrie,sindrom morbid prin teamă exagerată și obsesivă de boli,substantiv,25
subdezvoltat,(despre țări) caracterizat prin subdezvoltare,adjectiv,25
necomplicat,Care este lipsit de dificultate,adjectiv,25
înțepenit,care nu se mișcă liber,adjectiv,25
poise,"unitate de măsură a viscozității dinamice, reprezentând viscozitatea unui fluid în care, pentru a deplasa tangențial cu viteza de 1 cm/ s o suprafață plană de 1 cm 2, este necesară o forță de o dină",substantiv,25
diafan,"Foarte puțin dens, foarte subțire, lăsând să străbată lumina, fără a permite distingerea clară a formelor și a contururilor",adjectiv,25
plănuire,acțiunea de a formula programul desfășurării unei activități,substantiv,25
dicton,"Enunț formulat concis, exprimând un principiu etic, o normă de conduită etc.",substantiv,25
căruță,"Vehicul de forma carului, dar mai mic și mai ușor decât acesta, cu tracțiune animală, mai ales cu cai.;",substantiv,25
zguduitură,Acțiunea de a ( se ) zgudui,substantiv,25
gravitațional,Referitor la gravitație,adverb,25
jojoba,"arbore, originar din Mexic, din ale căror semințe se extrage un ulei asemănător cu cel de cașalot",substantiv,25
manglu,Mașină de finisat sau de apretat țesăturile prin presare la cald,substantiv,25
funicular,"Mijloc de transport aerian format din unul sau din mai multe cabluri suspendate pe stâlpi, pe care circulă cabinele cu pasageri și cărucioarele cu materiale, folosit în regiunile muntoase greu accesibile",substantiv,25
zurbagiu,"bărbat care obișnuiește să facă scandal, căruia îi place scandalul",substantiv,25
moașă,Femeie (cu pregătire specială) care asistă și îngrijește femeile la naștere.,substantiv,25
dezmierdare,Acțiunea de a ( se ) dezmierda și rezultatul ei,substantiv,25
pareză,"paralizie ușoară, incompletă, care permite mișcări de amplitudine redusă și cu forță diminuată.",substantiv,25
nălucire,Apariție fantomatică,substantiv,25
facțiune,Grupare care nu este de acord cu majoritatea grupului,substantiv,25
cerdac,"Galerie exterioară (balcon sau terasă acoperită), închisă adesea cu pereți având numeroase ferestre, care alcătuiește anexa unei locuințe.",substantiv,25
nesinceritate,"Caracterul a ceea ce este fals, mincinos, neautentic",substantiv,25
defăimător,"Care denigrează, prin care se denigrează.",adjectiv,25
bifurcat,Care se separă în două ramuri,adjectiv,25
necomunicativ,Care nu este înclinat să vorbească sau să comunice,adjectiv,25
plusa,(la jocul de cărți) a miza mai mult decât cei dinainte,verb,25
infinitezimal,extrem de mic,adjectiv,25
flecări,A vorbi chestiuni mărunte,verb,25
anatomist,specialist în anatomie,substantiv,25
deprecia,"(prin extensiune) a nesocoti, a minimaliza valoarea unui lucru",verb,25
furibund,"figurativ (Despre sentimentele oamenilor și manifestarea lor exterioară; adesea adverbial)) Foarte puternic, adânc, aprins, înfocat.",adjectiv,25
searbăd,"(despre alimente) fad, searbăd.",adjectiv,25
vraf,Grămadă de obiecte (de același fel) așezate unele peste altele.,substantiv,24
struț,"Pasăre alergătoare mare de stepă, cu picioare lungi și puternice, cu gât lung și golaș, cu aripi mici, inapte pentru zbor, cu pene frumoase, moi, negre sau brune-cenușii, întrebuințate ca podoabă, care trăiește îndeosebi în regiunile tropicale ale Africii",substantiv,24
lărgime,Însușirea de a fi larg.,substantiv,24
osânză,(prin extensiune) Grăsime depusă pe diverse părți ale corpului omenesc.,substantiv,24
lichen,"La pl.) Grup de plante inferioare al căror tal este compus dintr-o ciupercă și o algă aflate în simbioză, care cresc pe scoarța arborilor bătrâni, pe ziduri, pe stânci etc.; (și la sg.) plantă care face parte din acest grup",substantiv,24
puț,"Groapă cilindrică sau pătrată, adesea cu pereți pietruiți sau cu ghizduri împrejur, săpată în pământ până la nivelul unui strat de apă și care servește la alimentarea cu apă potabilă; fântână.",substantiv,24
inform,care prezintă neregularități sau abateri de la forma normală,substantiv,24
oleandru,"arbust ornamental cu flori mari, frumoase, roșii sau albe, plăcut mirositoare",substantiv,24
amigdală,fiecare dintre cele două glande în formă de migdală din faringe,substantiv,24
hocheist,1. jucător de hochei (DEX),substantiv,24
frișcă,"Strat de smântână proaspătă, care se ridică la suprafața laptelui nefiert după câteva ore de la mulgere și care, bătută cu țelul, devine spumoasă.",substantiv,24
încrengătură,"Diviziune a regnului animal sau a celui vegetal, superioară clasei",substantiv,24
contraargument,dovadă care ajută la stabilirea faptului că ceva este fals,substantiv,24
răsfăța,"A (se) răsfăța, a (se) răzgâia",verb,24
rumega,(Despre rumegătoare; la pers. 3) A mesteca a doua oară mâncarea întoarsă din stomac.,verb,24
decoji,A îndepărta coaja de pe,verb,24
cangrenat,Atins de cangrenă.,adjectiv,24
apolitic,"Care este în afara politicii, care nu se ocupă cu politica.",adjectiv,24
pițigăiat,"(Despre voce, despre sunete etc.) Subțire, ascuțit",adjectiv,24
prețuit,care se bucură de respect,adjectiv,24
dinapoi,în jumătatea din spate a corpului unui animal sau al unui om.,adjectiv,24
pârli,A arde ușor la suprafață,verb,24
admirație,"Sentiment de încântare, de stimă, de apreciere etc. față de cineva sau de ceva",substantiv,24
militărie,perioada de timp petrecută în serviciul militar,substantiv,24
sminteală,"Tulburare a minții, scrânteală, nebunie",substantiv,24
pocăință,"Părere de rău cauzată de pierderea unui lucru sau a unei ființe, de o nereușită sau de săvârșirea unei fapte nesocotite : (prin extensiune) remușcare, căință.",substantiv,24
ocupație,(Luare temporară în) stăpânire de către forțele armate ale unui stat a unei părți sau a totalității teritoriului unui alt stat,substantiv,24
animație,stare de activitate generală și de mișcare,substantiv,24
desfășura,"A îndrepta, a desfășura, trăgând de unul sau de ambele capete un lucru care poate fi întins, încolăcit, înfășurat, împăturit",verb,24
ticăi,"A emite un sunet ritmic, asemănător celui emis de ceas, în timpul funcționării.",verb,24
zvârli,"A îndepărta ceva rău, nefolositor",verb,24
păți,"A i se întâmpla cuiva ceva (neplăcut) ieșit din comun, a da peste ceva neașteptat (și neplăcut).",verb,24
cumpănit,cu măsură.,adverb,24
zvârcoli,"A (se) răsuci, (se) zbate, a face mișcări spasmodice (de durere).",verb,24
condică,"Condică, caiet, sistem de fișe etc. în care se înregistrează diferite date și acte cu caracter administrativ, comercial",substantiv,24
cârti,A-și exprima nemulțumirea sau atitudinea critică,verb,24
permanență,"calitate a ceea ce este durabil, permanent",substantiv,24
bocitoare,Femeie care se îndeletnicește cu bocitul la înmormântări,substantiv,24
țiglă,"Piesă de argilă arsă, în formă de placă, folosită pentru executarea învelitorilor la acoperișurile unor clădiri.",substantiv,24
fâlfâit,acțiunea de a fâlfâi,substantiv,24
recompensare,acțiunea de a răsplăti,substantiv,24
compensație,ceea ce servește pentru a compensa ceva.,substantiv,24
pionieră,(Ieșit din uz) Membră al organizației de masă a elevilor de 7-14 ani care avea ca scop educarea comunistă a elevilor,substantiv,24
uluire,"sentiment, stare de uimire, de uluire",substantiv,24
recuzare,descalificare a unui judecător din motive de prejudiciu sau conflict de interese; un judecător poate fi recuzat de către una din părți sau se poate recuza singur,substantiv,24
legifera,acțiunea de a elabora și a adopta legi,substantiv,24
extirpare,Acțiunea de a (se) stârpi,substantiv,24
încăpățânare,Faptul de a se încăpățâna.,substantiv,24
proliferare,extindere prin multiplicarea rapidă a părților,substantiv,24
încununa,"(figurativ) A desăvârși o activitate, o operă etc.",verb,24
împăia,"A umple cu paie pielea jupuită de pe un animal, spre a-i da acestuia înfățișarea naturală",verb,24
elogia,"A aduce elogii, a lăuda ( în cuvinte entuziaste), a preamări",verb,24
cursor,"piesă mobilă care alunecă pe o tijă, pe o riglă gradată etc.",substantiv,24
dizgrație,"Pierdere a favorii, a bunăvoinței, a grației unui monarh, a unei persoane influente, a unui superior.",substantiv,24
mutație,"(Biol.) Apariție bruscă a unui caracter genetic nou, care reflectă o modificare ereditară corespunzătoare a materialului ereditar",substantiv,24
respectare,"conformare față de lege, tradiție, practică",substantiv,24
catalepsie,stare patologică manifestată prin suprimarea sensibilității și a motricității,substantiv,24
rogoz,"plantă erbacee perenă din familia gramineelor, ca materie primă pentru obținerea celulozei, a hârtiei etc.",substantiv,24
psihoanaliză,"Metodă de analiză psihologică și de tratament al bolilor neuropsihice, care își propune, prin diverse probe (asociații de cuvinte, relatări de vise, interpretări de figuri confuze etc.), să descopere cauzele nevrozelor și psihozelor și să vindece aceste boli.",substantiv,24
briantină,"preparat cosmetic uleios și parfumat, folosit la îngrijirea părului",substantiv,24
anacronism,"eroare în fixarea datei unei întâmplări, a unui eveniment etc.",substantiv,24
dominație,"faptul de a domina, de a-și exercita influența sau stăpânirea",substantiv,24
pirotehnică,"tehnică a fabricării și utilizării materialelor explozibile și inflamabile, a focului de artificii etc.",substantiv,24
baobab,"arbore din regiunile tropicale, de mărimi uriașe",substantiv,24
imperialism,Politică de extindere a dominației sau autorității unui imperiu sau a unei națiuni asupra unor țări străine sau de dobândire de posesiuni coloniale și de menținere a lor.,substantiv,24
fezabilitate,însușirea a ceea ce este fezabil,substantiv,24
clinci,(box) încleștare și imobilizare reciprocă a partenerilor în timpul luptei,verb,24
potriveală,Raportul dintre două lucruri conforme,substantiv,24
mistificare,"activitatea de a face confuză înțelegerea oamenilor, lăsându-i nedumeriți",substantiv,24
naș,Persoană care ține în brațe pruncul în timpul botezului devenind astfel rudă cu familia respectivă.,substantiv,24
flintă,"Pușcă cu fitil, cu țeavă lungă, cocoș și cremene, folosită în trecut",substantiv,24
căsuță,Casă mică,substantiv,24
canastă,"grup de cel puțin șapte cărți de aceeași valoare, care constituie seria tipică a acestui joc",substantiv,24
înzestra,"A acorda cuiva un bun, o sursă de venituri etc.",verb,24
inspectorat,Serviciu care are sarcina de a inspecta activitatea unor unități subordonate,substantiv,24
feliere,Acțiunea de a tăia în felii,substantiv,24
creson,"plantă erbacee legumicolă din familia cruciferelor, cu flori albe, mici, și cu frunze comestibile",substantiv,24
manat,Unitatea monetară din Azerbaijan,substantiv,24
pigmentare,Faptul de a (se) pigmenta,substantiv,24
incapacita,A accidenta grav și ireversibil,verb,24
grimoar,formular cuprinzând formule magice de vrăjitorie,substantiv,24
radiotelescop,"Instrument pentru recepționarea, măsurarea și studierea undelor radiofonice emise de corpurile cerești",substantiv,24
hotă,"construcție de zid, de metal etc. deasupra unei surse de gaze pentru a le colecta și evacua printr-un coș de ventilație",substantiv,24
mediastin,"Partea mediană a cavității toracice, între stern, diafragmă, coloana vertebrală și plămâni",substantiv,24
meningiom,tumoare benignă a meningelor,substantiv,24
corupător,Persoană care corupe,substantiv,24
astringent,Substanță sau medicament folosit pentru combaterea secrețiilor organice exagerate.,substantiv,24
cauterizare,"ardere cu cauterul sau cu o substanță caustică a unei răni, a unui țesut bolnav etc., pentru a dezinfecta sau pentru a vindeca",substantiv,24
spoială,(Concr.) Strat protector cu care se acoperă suprafața unui obiect,substantiv,24
licitator,persoană care licitează la un joc de cărți,substantiv,24
abera,A divaga de la ceea ce trebuia să vorbească,verb,24
glutamat,o sare sau un ester al acidului glutamic,substantiv,24
sill,"corp vulcanic orizontal sau puțin înclinat, din lava care a pătruns printre formațiile sedimentare",substantiv,24
inducție,a face un raționament trecând de la fapte de detaliu la principii generale,substantiv,24
fibrom,"Tumoare benignă formată din țesut fibros, în țesutul conjunctiv",substantiv,24
nefinisat,(Despre diamante sau pietre prețioase) Care nu a fost tăiat și șlefuit,adjectiv,24
amorțit,Care a devenit insensibil,adjectiv,24
sfințit,Asupra căruia a fost invocat harul divin pentru a-i da un caracter sacru.,adjectiv,24
prodigios,"Ieșit din comun (prin cantitate, bogăție, varietate, calitate)",adjectiv,24
alămuri,Parte dintr-o orchestră care cântă la alămuri,substantiv,24
asirian,(Substantiv feminin) limbă semitică vorbităîn Asiria,substantiv,24
episcopie,"Diviziune administrativă bisericească, condusă de un episcop",substantiv,24
simplicitate,"Lipsă de podoabe inutile și căutate, de rafinament artificial (într-o operă de artă)",substantiv,24
sâsâi,"vorbi nedeslușit, greu și împiedicat, repetând silabele",verb,24
tomată,"Plantă erbacee legumicolă cu tulpina înaltă, cu frunze mari, penate și cu flori galbene, cultivată pentru fructul ei comestibil, sferic, roșu, zemos, bogat în vitamine",substantiv,24
malay,limbă din subfamilia vestică a limbilor malayo-polineziene,substantiv,24
canonic,"În conformitate cu canoanele, privitor la canoane",adjectiv,24
imunoglobulină,fracțiune proteică din serul sangvin care conține majoritatea anticorpilor,substantiv,24
dachshund,"rasă germană de câini de talie mică, cu trupul alungit, cu picioarele scurte",substantiv,24
dulgherie,Meseria tâmplarului.,substantiv,24
departamental,Dependent de un departament,adverb,24
hidromel,băutură alcoolică obținută prin fermentația mierii cu apă,substantiv,24
crevetă,Nume dat mai multor crustacee marine comestibile,substantiv,24
arin,"Nume dat mai multor specii de arbori cu frunze ovale, dințate și cu flori verzui-roșietice, grupate în amenți.",substantiv,24
calomnios,"Care denigrează, prin care se denigrează.",adjectiv,24
insurmontabil,De netrecut,adjectiv,24
laborios,De o manieră laborioasă,adverb,24
cuviință,Însușirea de a nu se amesteca într-un mod nedorit,substantiv,24
desemnare,acțiunea de a pune o persoană într-o funcție non-electivă,substantiv,24
eparhie,"Diviziune administrativă bisericească, condusă de un episcop",substantiv,24
mulinetă,"Dispozitiv folosit în pescuitul sportiv cu lanseta, fixat pe vergile de pescuit și constituit dintr-o bobină cu manivelă, care servește la înfășurarea firului, și dintr-un mecanism de frânare.",substantiv,24
dotă,bunurile aduse de o femeie în căsătorie,substantiv,24
împreunare,Acțiunea prin care sunt unite lucruri.,substantiv,24
elogios,"cu caracter panegiric, laudativ, elogios",adjectiv,24
prenupțial,dinainte de căsătorie,adjectiv,24
modera,"a conduce ca președinte (o ședință, o dezbatere etc.)",verb,24
glisa,"A se mișca lin, fără a întâmpina vreo rezistență",verb,24
molatec,(Cam) moale,adjectiv,24
mocirlos,"În care se adună și stagnează apa provenită din precipitații, din inundații sau din pânza freatică",adjectiv,24
inconstant,supus schimbării sau variației,adjectiv,24
fluorura,A trata cu fluor,verb,24
grețos,Care provoacă greață,adjectiv,24
dezmierda,A mângâia pe cineva atingându-l ușor cu palma ori spunându-i vorbe drăgăstoase; a alinta.,verb,24
urâți,A face să devină sau a devenit urât,verb,24
vergă,"Bară (de lemn sau de metal) așezată perpendicular pe catargul unei corăbii, folosită la susținerea unor vele.",substantiv,24
excomunica,A exclude pe cineva dintr-o comunitate religioasă,verb,24
grosier,(Despre oameni și manifestările lor) Lipsit de delicatețe,adjectiv,24
abisal,De abis,adjectiv,24
sista,A înceta (vremelnic sau definitiv) o activitate,verb,24
neîndoios,De care nu te poți îndoi,adjectiv,24
grânar,"Magazie în care se păstrează diferite produse agricole, în special cereale",substantiv,24
exponent,"Persoană care reprezintă, apără și pledează pentru o cauză sau o idee",substantiv,23
troleibuz,"Vehicul rutier de transport în comun, cu tracțiune electrică, asemănător cu autobuzul, prevăzut cu troleu.",substantiv,23
cireș,"pom fructifer cu frunze ovale alungite, cu flori albe, cultivat pentru fructele sale",substantiv,23
colonialism,Politică a unor state de a cuceri colonii pentru a le exploata.,substantiv,23
stinghie,bară de lemn sau de metal,substantiv,23
tisă,"Arbore sau arbust rășinos, care poate atinge peste 1000 de ani, cu frunze lungi, aciculare, lucitoare, cu lemnul tare și foarte prețios",substantiv,23
dalie,"Plantă decorativă din familia compozeelor, cu flori în capitule mari albe, galbene, roșii sau violete",substantiv,23
blănar,Meseriaș care face sau repară îmbrăcăminte de blană.,substantiv,23
filologie,"Știință care se ocupă cu studiul culturii scrise a popoarelor, în special cu studiul textelor vechi și al operelor literare din punct de vedere al limbii, al influențelor suferite, al modului în care ni s-au transmis și al autenticității, precum și cu editarea lor.",substantiv,23
livrea,"Uniformă (împodobită cu galoane și fireturi) purtată de personalul de serviciu din marile hoteluri, din restaurante sau din unele case particulare.",substantiv,23
ingratitudine,Lipsă de recunoștință.,substantiv,23
autodisciplină,Disciplină liber consimțită.,substantiv,23
calcit,"Carbonat de calciu natural, cristalizat, transparent, incolor sau divers colorat, care alcătuiește calcarul, marmura etc.",substantiv,23
noian,în număr sau cantitate copleșitoare,substantiv,23
extincție,Faptul de a (se) stinge,substantiv,23
măgulire,laudă excesivă sau nesinceră,substantiv,23
zumzăit,"zgomotul produs ce ceva care zbârnâie, vibrează",substantiv,23
destina,"A stabili, a hotărî (ceva) dinainte, în vederea unui scop;",verb,23
compila,"A aduna fapte sau păreri din operele diverșilor autori pentru a alcătui o lucrare nouă, fără o contribuție personală.",verb,23
fortuit,Venit pe neașteptate,adjectiv,23
depreciat,Care și-a micșorat valoarea,adjectiv,23
curativ,"care lecuiește, vindecă",adjectiv,23
nespecificat,neredat clar,adjectiv,23
octogenar,care a atins (sau a depășit) vârsta de optzeci de ani.,adjectiv,23
androgin,"având atât caracteristici bărbătești, cât și femeiești",adjectiv,23
măsurabil,care se poate măsura,adjectiv,23
patronaj,Protecție și sprijin acordat unei cauze sau unei întreprinderi de orice natură,verb,23
încălțăminte,acoperământ pentru picioare,substantiv,23
lexicon,"Operă lexicografică cuprinzând cuvintele unei limbi, ale unui dialect, ale unui domeniu de activitate, ale unui scriitor etc., organizate într-o anumită ordine (de obicei alfabetică) și explicate în aceeași limbă sau traduse într-o limbă străină",substantiv,23
semiconductor,Material a cărui conductibilitate electrică este mai slabă decât cea a conductoarelor (metalelor) și mai bună decât cea a izolatoarelor.,substantiv,23
alcătuire,"Totalitatea elementelor care alcătuiesc o unitate; structură, compunere, alcătuire.;",substantiv,23
melanj,Reuniune de lucruri diverse,substantiv,23
oglindire,"înfățișare, redare, reproducere a unui lucru (prin mijloace plastice)",substantiv,23
discrimina,"A stabili deosebirea dintre două sau mai multe ființe sau lucruri, a delimita caracterele lor specifice.",verb,23
cuvânta,A ține un discurs,verb,23
adnotare,"Fiecare dintre adnotările la un text literar sau științific, cuprinzând informații suplimentare de amănunt, referințe bibliografice etc., trecute în josul paginii respective ori la sfârșitul sau la începutul volumului adnotat",substantiv,23
umorist,Actor care interpretează roluri de comedie.,substantiv,23
ponegri,"A vorbi de rău, cu dispreț pe cineva sau a vorbi rău despre ceva",verb,23
înțepa,"a împunge, a tăia cu un obiect cu vârf ascuțit, astfel încât vârful (sau întregul obiect) să răzbată în partea cealaltă",verb,23
prețui,"A stabili prețul unui bun (destinat vânzării), a-i determina valoarea în bani",verb,23
funest,Care pricinuiește sau poate pricinui moartea,adjectiv,23
binișor,"Într-un ritm încet, fără grabă",adverb,23
disensiune,"Lipsă de acord, de armonie (între sunete sau, (prin extensiune), între opinii, sentimente, fenomene)",substantiv,23
interacționa,A participa alături de alții la realizarea unei acțiuni sau a unei opere care se efectuează în comun,verb,23
călcare,neîndeplinirea unei promisiuni sau obligații,substantiv,23
victimizare,"aversiune a unei persoane, datorată faptului că a fost transformată în victimă",substantiv,23
foileton,parte a unui serial tipărit,substantiv,23
albumină,"Substanță organică din grupul proteinelor, solubilă în apă, coagulabilă prin încălzire și precipitabilă la acțiunea acizilor organici, care intră în compoziția albușului de ou, a sângelui și a altor lichide organice.",substantiv,23
depășire,Acțiunea de a trece pe lângă ceva în mișcare cu intenția de a ajunge în fața sa.,substantiv,23
fluturare,acțiunea de a fâlfâi,substantiv,23
limb,"partea lățită a unei frunze, petale sau sepale",substantiv,23
jupân,Titlu de politețe dat în țările române persoanelor care ocupau anumite demnități sau funcții înalte,substantiv,23
fiabilitate,constanță datorată puterii de a rezista la oboseală sau la forțe exterioare,substantiv,23
omitere,Greșeală comisă din neatenție,substantiv,23
pribegie,"Pedeapsă aplicată în unele țări pentru delicte politice, constând în izgonirea unui cetățean din țara sau din localitatea în care trăiește",substantiv,23
haplea,Om lacom la mâncare.,substantiv,23
iacobin,"Membru al celei mai radicale grupări revoluționare franceze, în perioada revoluție din 1789-1794",substantiv,23
trapezist,acrobat specializat în exerciții la trapez,substantiv,23
autodeterminare,"principiu care exprimă dreptul fiecărei națiuni de a-și alege, fără imixtiuni din afară, statutul ei politic și calea de dezvoltare economică, socială și culturală",substantiv,23
olărie,Produse ceramice produse de olar,substantiv,23
moștenitoare,Femeie care moștenește pe cineva.,substantiv,23
litografie,"Metodă de reproducere și de multiplicare pe hârtie a textelor, desenelor, figurilor etc., prin utilizarea de negative imprimate sau desenate pe o piatră specială, calcaroasă.",substantiv,23
