word,definition,pos,example,commonness_zipf
astride,with one leg on each side,adv,she sat astride the chair,2.62
resuscitate,cause to regain consciousness,verb,The doctors revived the comatose man,2.62
insomniac,someone who cannot sleep,noun,,2.62
dais,a platform raised above the surrounding level to give prominence to the person on it,noun,,2.62
crewman,any member of a ship's crew,noun,,2.62
dregs,sediment that has settled at the bottom of a liquid,noun,,2.62
plausibly,easy to believe on the basis of available evidence,adv,he talked plausibly before the committee,2.62
prohibitively,to a prohibitive degree,adv,it is prohibitively expensive,2.62
autocracy,a political system governed by a single individual,noun,,2.62
chives,perennial having hollow cylindrical leaves used for seasoning,noun,,2.62
paintbrush,a brush used as an applicator (to apply paint),noun,,2.62
snarl,a vicious angry growl,noun,,2.62
counterclockwise,in the direction opposite to the rotation of the hands of a clock,adj,,2.62
foldable,capable of being folded up and stored,adj,a foldaway bed,2.62
underclass,the social class lowest in the social hierarchy,noun,,2.62
drapery,hanging cloth used as a blind (especially for a window),noun,,2.62
weenie,a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll,noun,,2.62
peddler,someone who travels about selling his wares (as on the streets or at carnivals),noun,,2.61
placental,mammals having a placenta; all mammals except monotremes and marsupials,noun,,2.61
nitride,a compound containing nitrogen and a more electropositive element (such as phosphorus or a metal),noun,,2.61
lengthwise,running or extending in the direction of the length of a thing,adj,the lengthwise dimension,2.61
swig,a large and hurried swallow,noun,he finished it at a single gulp,2.61
pullover,a sweater that is put on by pulling it over the head,noun,,2.61
customarily,by custom; according to common practice,adv,children are custosby-the-waymarily expected to be seen but not heard,2.61
peculiarly,uniquely or characteristically; ; ; - John Knowles,adv,these peculiarly cinematic elements,2.61
amply,to an ample degree or in an ample manner,adv,these voices were amply represented,2.61
pithy,concise and full of meaning; ; - Hervey Allen,adj,welcomed her pithy comments,2.61
uncivilized,without civilizing influences; ; ; ; -Margaret Meade,adj,barbarian invaders,2.61
shortsighted,lacking foresight or scope,adj,a short view of the problem,2.61
fertilize,provide with fertilizers or add nutrients to,verb,We should fertilize soil if we want to grow healthy plants,2.61
multicolored,having sections or patches colored differently and usually brightly,adj,a jester dressed in motley,2.61
serviceman,someone who serves in the armed forces; a member of a military force,noun,two men stood sentry duty,2.61
washy,overly diluted; thin and insipid,adj,washy coffee,2.61
denunciation,a public act of denouncing,noun,,2.61
magnanimous,noble and generous in spirit,adj,a greathearted general,2.61
jailer,someone who guards prisoners,noun,,2.61
foreshore,the part of the seashore between the highwater mark and the low-water mark,noun,,2.61
phenomenally,to a phenomenal degree,adv,his reaction was phenomenally quick,2.61
idiopathic,(of diseases) arising from an unknown cause,adj,idiopathic epilepsy,2.61
norepinephrine,a catecholamine precursor of epinephrine that is secreted by the adrenal medulla and also released at synapses,noun,,2.61
geneticist,a biologist who specializes in genetics,noun,,2.61
viewable,capable of being viewed,adj,,2.61
clack,a sharp abrupt noise as if two objects hit together; may be repeated,noun,,2.61
drawbridge,a bridge that can be raised to block passage or to allow boats or ships to pass beneath it,noun,,2.61
unpatriotic,showing lack of love for your country,adj,,2.61
effector,one who brings about a result or event; one who accomplishes a purpose,noun,,2.61
cooperatively,in close cooperation,adv,they work hand in glove,2.61
confidentially,in a confidential manner,adv,spoke to him intimately and confidentially,2.61
unappealing,(of characters in literature or drama) tending to evoke antipathetic feelings,adj,all the characters were peculiarly unsympathetic,2.61
maniacal,wildly disordered,adj,a maniacal frenzy,2.61
thankless,not feeling or showing gratitude; ; - Shakespeare,adj,ungrateful heirs,2.61
bevel,two surfaces meeting at an angle different from 90 degrees,noun,,2.61
drudge,one who works hard at boring tasks,noun,,2.61
sortie,a military action in which besieged troops burst forth from their position,noun,,2.61
dwindle,become smaller or lose substance,verb,Her savings dwindled down,2.61
linoleum,a floor covering,noun,,2.61
resistive,exhibiting or relating to electrical resistance,adj,resistive load,2.61
immigrate,migrate to a new environment,verb,only few plants can immigrate to the island,2.61
vitals,a bodily organ that is essential for life,noun,,2.61
notional,not based on fact; unreal; - F.D.Roosevelt,adj,the falsehood about some fanciful secret treaties,2.61
doppelganger,a ghostly double of a living person that haunts its living counterpart,noun,,2.61
miscalculation,a mistake in calculating,noun,,2.61
tenner,the cardinal number that is the sum of nine and one; the base of the decimal system,noun,,2.61
bookmaker,a maker of books; someone who edits or publishes or binds books,noun,,2.61
neurobiology,the branch of biology that deals with the anatomy and physiology and pathology of the nervous system,noun,,2.61
kerb,an edge between a sidewalk and a roadway consisting of a line of curbstones (usually forming part of a gutter),noun,,2.61
deflate,collapse by releasing contained air or gas,verb,deflate a balloon,2.61
encapsulation,the condition of being enclosed (as in a capsule),noun,the encapsulation of tendons in membranous sheaths,2.61
airspeed,the speed of an aircraft relative to the air in which it is flying,noun,,2.61
materialist,someone with great regard for material possessions,noun,,2.61
fittingly,in an appropriate manner,adv,he was appropriately dressed,2.61
narc,a lawman concerned with narcotics violations,noun,,2.61
unrepentant,not penitent or remorseful,adj,,2.61
lyre,a harp used by ancient Greeks for accompaniment,noun,,2.61
expediency,the quality of being suited to the end in view,noun,,2.61
dismount,the act of dismounting (a horse or bike etc.),noun,,2.61
guava,small tropical shrubby tree bearing small yellowish fruit,noun,,2.61
huntress,a woman hunter,noun,,2.61
crimp,an angular or rounded shape made by folding,noun,a fold in the napkin,2.61
birdsong,the characteristic sound produced by a bird,noun,a bird will not learn its song unless it hears it at an early age,2.61
homogeneity,the quality of being similar or comparable in kind or nature,noun,there is a remarkable homogeneity between the two companies,2.61
plop,the noise of a rounded object dropping into a liquid without a splash,noun,,2.61
fatherless,having no living father,adj,,2.61
aromatherapy,the therapeutic use of aromatic plant extracts and essential oils in baths or massage,noun,,2.61
etiology,the cause of a disease,noun,,2.61
offstage,a stage area out of sight of the audience,noun,,2.61
waveguide,a hollow metal conductor that provides a path to guide microwaves; used in radar,noun,,2.61
drugging,the administration of a sedative agent or drug,noun,,2.61
sashimi,very thinly sliced raw fish,noun,,2.61
winemaking,the craft and science of growing grapes and making wine,noun,,2.61
preclinical,of or relating to the early phases of a disease when accurate diagnosis is not possible because symptoms of the disease have not yet appeared,adj,,2.61
storeroom,a room in which things are stored,noun,,2.61
repulsion,the force by which bodies repel one another,noun,,2.61
raster,the rectangular formation of parallel scanning lines that guide the electron beam on a television screen or a computer monitor,noun,,2.61
necromancer,one who practices magic or sorcery,noun,,2.61
miniscule,very small,adj,a minuscule kitchen,2.61
cacophony,a loud harsh or strident noise,noun,,2.61
grimace,a contorted facial expression,noun,she made a grimace at the prospect,2.61
attestation,the action of bearing witness,noun,,2.61
glycine,the simplest amino acid found in proteins and the principal amino acid in sugar cane,noun,,2.61
resurgent,rising again as to new life and vigor,adj,resurgent nationalism,2.61
conservator,the custodian of a collection (as a museum or library),noun,,2.61
eyesore,something very ugly and offensive,noun,,2.61
velodrome,a banked oval track for bicycle or motorcycle racing,noun,,2.61
physiologically,of or relating to physiological processes; with respect to physiology,adv,physiologically ready,2.61
statuette,a small carved or molded figure,noun,,2.61
encircle,form a circle around,verb,encircle the errors,2.61
seditious,arousing to action or rebellion,adj,,2.61
epistemological,of or relating to epistemology,adj,epistemic modal,2.61
obverse,the more conspicuous of two alternatives or cases or sides,noun,the obverse of this issue,2.61
brogan,a thick and heavy shoe,noun,,2.61
indiscretion,the trait of being injudicious,noun,,2.61
hematoma,a localized swelling filled with blood,noun,,2.61
groggy,stunned or confused and slow to react (as from blows or drunkenness or exhaustion),adj,,2.61
diuretic,"any substance that tends to increase the flow of urine, which causes the body to get rid of excess water",noun,,2.61
overlying,lie upon; lie on top of,verb,the granite overlies the older rocks,2.61
shunning,deliberately avoiding; keeping away from or preventing from happening,noun,,2.61
wince,the facial expression of sudden pain,noun,,2.61
collation,a light informal meal,noun,,2.61
deactivation,breaking up a military unit (by transfers or discharges),noun,,2.61
phonics,teaching reading by training beginners to associate letters with their sound values,noun,,2.61
exonerate,pronounce not guilty of criminal charges,verb,The suspect was cleared of the murder charges,2.61
untidy,not neat and tidy,adj,careless and untidy in her personal habits,2.61
monger,someone who purchases and maintains an inventory of goods to be sold,noun,,2.61
misdirection,an incorrect charge to a jury given by a judge,noun,,2.61
cenotaph,a monument built to honor people whose remains are interred elsewhere or whose remains cannot be recovered,noun,,2.61
diazepam,a tranquilizer (trade name Valium) used to relieve anxiety and relax muscles; acts by enhancing the inhibitory actions of the neurotransmitter GABA; can also be used as an anticonvulsant drug in cases of nerve agent poisoning,noun,,2.61
gizmo,something unspecified whose name is either forgotten or not known,noun,she eased the ball-shaped doodad back into its socket,2.61
covey,a small collection of people,noun,,2.61
repaint,paint again,verb,He repainted the same scenery many times during his life,2.61
castaway,a person who is rejected (from society or home),noun,,2.61
wetness,the condition of containing or being covered by a liquid (especially water),noun,he confirmed the wetness of the swimming trunks,2.61
rubbery,having an elastic texture resembling rubber in flexibility or toughness,adj,,2.61
implacable,incapable of being placated,adj,an implacable enemy,2.61
demonize,make into a demon,verb,Power had demonized him,2.61
guano,the excrement of sea birds; used as fertilizer,noun,,2.61
businesspeople,people who transact business (especially business executives),noun,,2.61
sinker,a small ring-shaped friedcake,noun,,2.61
goop,"any thick, viscous matter",noun,,2.61
triceps,any skeletal muscle having three origins (but especially the triceps brachii),noun,,2.61
arranger,a person who brings order and organization to an enterprise,noun,she was the organizer of the meeting,2.61
connectedness,the state of being connected,noun,the connection between church and state is inescapable,2.61
paucity,an insufficient quantity or number,noun,,2.61
capitalistic,favoring or practicing capitalism,adj,,2.61
pittance,an inadequate payment,noun,they work all day for a mere pittance,2.61
chink,(ethnic slur) offensive term for a person of Chinese descent,noun,,2.61
pelagic,relating to or occurring or living in or frequenting the open ocean,adj,oceanic islands like Bermuda,2.61
taxidermy,the art of mounting the skins of animals so that they have lifelike appearance,noun,,2.61
womanizer,a man who likes many women and has short sexual relationships with them,noun,,2.61
registrant,a person who is formally entered (along with others) in a register (and who obtains certain rights thereby),noun,,2.61
washable,capable of being washed without injury,adj,washable woolens,2.61
facile,arrived at without due care or effort; lacking depth,adj,too facile a solution for so complex a problem,2.61
infirm,lacking bodily or muscular strength or vitality,adj,a feeble old woman,2.61
enchantress,a woman who is considered to be dangerously seductive,noun,,2.61
wrecker,someone who demolishes or dismantles buildings as a job,noun,,2.61
indemnify,"secure against future loss, damage, or liability; give security for",verb,This plan indemnifies workers against wages lost through illness,2.61
palatial,relating to or being a palace,adj,the palatial residence,2.61
parley,a negotiation between enemies,noun,,2.61
useable,fit or ready for use or service,adj,the toaster was still functional even after being dropped,2.61
magus,a magician or sorcerer of ancient times,noun,,2.61
sceptre,the imperial authority symbolized by a scepter,noun,,2.61
mystified,be a mystery or bewildering to,verb,This beats me!,2.61
histology,the branch of biology that studies the microscopic structure of animal or plant tissues,noun,,2.61
reassessment,a new appraisal or evaluation,noun,,2.61
antithetical,sharply contrasted in character or purpose,adj,practices entirely antithetical to her professed beliefs,2.61
buzzword,stock phrases that have become nonsense through endless repetition,noun,,2.61
aphasia,inability to use or understand language (spoken or written) because of a brain lesion,noun,,2.6
convalescent,a person who is recovering from illness,noun,,2.6
telluride,any binary compound of tellurium with other more electropositive elements,noun,,2.6
propylene,a flammable gas obtained by cracking petroleum; used in organic synthesis,noun,,2.6
millimetre,a metric unit of length equal to one thousandth of a meter,noun,,2.6
nawab,a governor in India during the Mogul empire,noun,,2.6
hallucinogenic,capable of producing hallucinations,adj,LSD is a powerful hallucinogenic drug,2.6
phosphatase,any of a group of enzymes that act as a catalyst in the hydrolysis of organic phosphates,noun,,2.6
indignity,an affront to one's dignity or self-esteem,noun,,2.6
virtuosity,technical skill or fluency or style exhibited by a virtuoso,noun,,2.6
evidentiary,pertaining to or constituting evidence,adj,evidentiary technique,2.6
cupping,a treatment in which evacuated cups are applied to the skin to draw blood through the surface,noun,,2.6
saran,any of various thermoplastic resins used to make things,noun,,2.6
mezzo,a soprano with a voice between soprano and contralto,noun,,2.6
jutting,the act of projecting out from something,noun,,2.6
astrophysical,of or concerned with astrophysics,adj,astrophysical sciences,2.6
sniffer,a person who sniffs,noun,,2.6
injectable,(used of drugs) capable of being injected,adj,,2.6
bylaw,a rule adopted by an organization in order to regulate its own affairs and the behavior of its members,noun,,2.6
unencumbered,free of encumbrance,adj,inherited an unencumbered estate,2.6
backstop,(baseball) the person who plays the position of catcher,noun,,2.6
inadequately,in an inadequate manner or to an inadequate degree,adv,the temporary camps were inadequately equipped,2.6
cristal,street names for methylenedioxymethamphetamine,noun,,2.6
briskly,in a brisk manner,adv,she walked briskly in the cold air,2.6
dualism,"the doctrine that reality consists of two basic opposing elements, often taken to be mind and matter (or mind and body), or good and evil",noun,,2.6
vizier,a high official in a Muslim government (especially in the Ottoman Empire),noun,,2.6
scrip,a certificate whose value is recognized by the payer and payee; scrip is not currency but may be convertible into currency,noun,,2.6
paschal,of or relating to Passover or Easter,adj,paschal lamb,2.6
crone,an ugly evil-looking old woman,noun,,2.6
choker,someone who kills by strangling,noun,,2.6
faultless,without fault or error,adj,faultless logic,2.6
cellophane,a transparent paperlike product that is impervious to moisture and used to wrap candy or cigarettes etc.,noun,,2.6
discordant,not in agreement or harmony,adj,views discordant with present-day ideas,2.6
bruiser,a large and strong and heavyset man,noun,he was a bull of a man,2.6
remorseful,feeling or expressing pain or sorrow for sins or offenses,adj,,2.6
squalid,morally degraded; ; ; ; - Seattle Weekly; - James Joyce,adj,a seedy district,2.6
bioethics,the branch of ethics that studies moral values in the biomedical sciences,noun,,2.6
distrustful,having or showing distrust; ; - B.N.Cardozo; - Thomas Jefferson,adj,a man of distrustful nature,2.6
antecedent,someone from whom you are descended (but usually more remote than a grandparent),noun,,2.6
unfilled,of purchase orders that have not been filled,adj,,2.6
fairground,an open area for holding fairs or exhibitions or circuses,noun,,2.6
deferral,a state of abeyance or suspended business,noun,,2.6
heckler,someone who tries to embarrass you with gibes and questions and objections,noun,,2.6
whimsy,an odd or fanciful or capricious idea,noun,the theatrical notion of disguise is associated with disaster in his stories,2.6
productively,in a productive way,adv,they worked together productively for two years,2.6
unjustifiable,incapable of being justified or explained,adj,,2.6
louse,wingless usually flattened bloodsucking insect parasitic on warm-blooded animals,noun,,2.6
inflorescence,the time and process of budding and unfolding of blossoms,noun,,2.6
socialise,take part in social activities; interact with others,verb,He never socializes with his colleagues,2.6
headbutt,butt with the head,verb,The soccer player headbutted his oponent and was sent off the field,2.6
fatherly,like or befitting a father or fatherhood; kind and protective,adj,,2.6
bimonthly,a periodical that is published twice a month or every two months (either 24 or 6 issues per year),noun,,2.6
zircon,a common mineral occurring in small crystals; chief source of zirconium; used as a refractory when opaque and as a gem when transparent,noun,,2.6
passivity,the trait of remaining inactive; a lack of initiative,noun,,2.6
disavow,"refuse to acknowledge; disclaim knowledge of; responsibility for, or association with",verb,Her husband disavowed her after 30 years of marriage and six children,2.6
subordination,the state of being subordinate to something,noun,,2.6
unionization,act of forming labor unions,noun,the issue underlying the strike was unionization,2.6
speedometer,a meter fixed to a vehicle that measures and displays its speed,noun,,2.6
clumsily,in a clumsy manner,adv,he snatched the bills clumsily,2.6
acetylcholine,a neurotransmitter that is a derivative of choline; released at the ends of nerve fibers in the somatic and parasympathetic nervous systems,noun,,2.6
fancier,a person having a strong liking for something,noun,,2.6
sheaf,a package of several things tied together for carrying or storing,noun,,2.6
malfeasance,wrongful conduct by a public official,noun,,2.6
interdiction,authoritative prohibition,noun,,2.6
couscous,a spicy dish that originated in northern Africa; consists of pasta steamed with a meat and vegetable stew,noun,,2.6
letterhead,a sheet of stationery with name and address of the organization printed at the top,noun,,2.6
sexiness,the arousal of feelings of sexual desire,noun,,2.6
surfactant,a chemical agent capable of reducing the surface tension of a liquid in which it is dissolved,noun,,2.6
nipping,squeeze tightly between the fingers,verb,He pinched her behind,2.6
clamour,loud and persistent outcry from many people,noun,he ignored the clamor of the crowd,2.6
bursa,a city in northwestern Turkey,noun,,2.6
adherent,someone who believes and helps to spread the doctrine of another,noun,,2.6
laud,"praise, glorify, or honor",verb,extol the virtues of one's children,2.6
exalt,"praise, glorify, or honor",verb,extol the virtues of one's children,2.6
fistula,a chronic inflammation of the withers of a horse,noun,,2.6
vegetarianism,a diet excluding all meat and fish,noun,,2.6
bloat,swelling of the rumen or intestinal tract of domestic animals caused by excessive gas,noun,,2.6
newsreader,someone who reads out broadcast news bulletin,noun,,2.6
levis,a popular brand of jeans,noun,,2.6
seafaring,the work of a sailor,noun,,2.6
morello,any of several cultivated sour cherry trees bearing fruit with dark skin and juice,noun,,2.6
newness,the quality of being new; the opposite of oldness,noun,,2.6
halve,divide by two; divide into halves,verb,Halve the cake,2.6
humbug,pretentious or silly talk or writing,noun,,2.6
feedstock,the raw material that is required for some industrial process,noun,,2.6
mechanistic,explained in terms of physical forces,adj,a mechanistic universe,2.6
virulence,extreme harmfulness (as the capacity of a microorganism to cause disease),noun,the virulence of the plague,2.6
sociopathic,of or relating to a sociopathic personality disorder,adj,,2.6
tarn,a mountain lake (especially one formed by glaciers),noun,,2.6
presidio,a fortress established in the southwestern United States by the Spanish in order to protect their missions and other holdings,noun,Tucson was first settled as a walled presidio,2.6
aforesaid,being the one previously mentioned or spoken of,adj,works of all the aforementioned authors,2.6
unnaturally,in an unnatural way,adv,"his other arm lay across his chest, unnaturally, as if placed there deliberately, for a purpose",2.6
reversion,"(law) an interest in an estate that reverts to the grantor (or his heirs) at the end of some period (e.g., the death of the grantee)",noun,,2.6
rebut,"overthrow by argument, evidence, or proof",verb,The speaker refuted his opponent's arguments,2.6
downy,like down or as soft as down,adj,,2.6
vicarious,experienced at secondhand,adj,read about mountain climbing and felt vicarious excitement,2.6
bolus,a small round soft mass (as of chewed food),noun,,2.6
reheat,heat again,verb,Please reheat the food from last night,2.6
scruff,the back side of the neck,noun,,2.6
legation,the post or office of legate,noun,,2.6
jaunt,a journey taken for pleasure,noun,many summer excursions to the shore,2.6
asunder,widely separated especially in space,adj,as wide asunder as pole from pole,2.6
piezoelectric,relating to or involving piezoelectricity,adj,piezoelectric plates,2.6
massif,a block of the earth's crust bounded by faults and shifted to form peaks of a mountain range,noun,,2.6
reticence,the trait of being uncommunicative; not volunteering anything more than necessary,noun,,2.6
misstep,an unintentional but embarrassing blunder,noun,he recited the whole poem without a single trip,2.6
polypeptide,a peptide containing 10 to more than 100 amino acids,noun,,2.6
pyrotechnics,(music) brilliance of display (as in the performance of music),noun,,2.6
misinterpret,interpret falsely,verb,,2.6
misappropriation,the fraudulent appropriation of funds or property entrusted to your care but actually owned by someone else,noun,,2.6
unabashed,not embarrassed; - Jerome Stone,adj,a tinseled charm and unabashed sentimentality,2.6
rationalism,(philosophy) the doctrine that knowledge is acquired by reason without resort to experience,noun,,2.6
levity,feeling an inappropriate lack of seriousness,noun,,2.6
villainy,the quality of evil by virtue of villainous behavior,noun,,2.6
impetuous,characterized by undue haste and lack of thought or deliberation; ; ; ; ; (`brainish' is archaic),adj,a hotheaded decision,2.6
percussive,involving percussion or featuring percussive instruments,adj,percussive music,2.6
wrangle,an angry dispute,noun,they had a quarrel,2.6
frizzy,(of hair) in small tight curls,adj,,2.6
adulation,servile flattery; exaggerated and hypocritical praise,noun,,2.6
amniotic,of or related to the amnion or characterized by developing an amnion,adj,amniotic membrane,2.6
workpiece,work consisting of a piece of metal being machined,noun,,2.6
harlot,a woman who engages in sexual intercourse for money,noun,,2.6
decry,express strong disapproval of,verb,We condemn the racism in South Africa,2.6
siesta,a nap in the early afternoon (especially in hot countries),noun,,2.6
optimise,make optimal; get the most out of; use best,verb,optimize your resources,2.6
aphrodisiac,a drug or other agent that stimulates sexual desire,noun,,2.6
rhinestone,an imitation diamond made from rock crystal or glass or paste,noun,,2.6
nontraditional,not conforming to or in accord with tradition,adj,nontraditional designs,2.6
thunk,a dull hollow sound,noun,the basketball made a thunk as it hit the rim,2.6
quandary,a situation from which extrication is difficult especially an unpleasant or trying one,noun,finds himself in a most awkward predicament,2.6
taxicab,a car driven by a person whose job is to take passengers where they want to go in exchange for money,noun,,2.6
bubonic,of or evidencing buboes,adj,bubonic plague,2.6
caddie,an attendant who carries the golf clubs for a player,noun,,2.6
prosaic,not fanciful or imaginative,adj,local guides describe the history of various places in matter-of-fact tones,2.6
foxtrot,a ballroom dance in quadruple time; combines short and long and fast and slow steps fixed sequences,noun,,2.6
plinth,an architectural support or base (as for a column or statue),noun,,2.6
summarise,be a summary of,verb,The abstract summarizes the main ideas in the paper,2.6
costal,of or relating to or near a rib,adj,,2.6
binocular,relating to both eyes,adj,binocular vision,2.6
oration,an instance of oratory,noun,he delivered an oration on the decline of family values,2.6
biter,someone who bites,noun,,2.6
submerge,sink below the surface; go under or as if under water,verb,,2.6
postulate,(logic) a proposition that is accepted as true in order to provide a basis for logical reasoning,noun,,2.6
cofounder,one of a group of founders,noun,,2.6
tater,an edible tuber native to South America; a staple food of Ireland,noun,,2.6
inky,of the color of black ink,adj,,2.6
crystallography,the branch of science that studies the formation and structure of crystals,noun,,2.6
typescript,typewritten matter especially a typewritten copy of a manuscript,noun,,2.59
bronchial,relating to or associated with the bronchi,adj,bronchial tubes,2.59
goer,someone who leaves,noun,,2.59
corker,(dated slang) a remarkable or excellent thing or person,noun,that story was a corker,2.59
amateurish,lacking professional skill or expertise,adj,a very amateurish job,2.59
hereof,of or concerning this,adv,the twigs hereof are physic,2.59
leer,a facial expression of contempt or scorn; the upper lip curls,noun,,2.59
heretofore,used in negative statement to describe a situation that has existed up to this point or up to the present time,adv,So far he hasn't called,2.59
extricate,release from entanglement of difficulty,verb,I cannot extricate myself from this task,2.59
superposition,(geology) the deposition of one geological stratum on another,noun,,2.59
repairman,a skilled worker whose job is to repair things,noun,,2.59
secessionist,an advocate of secessionism,noun,,2.59
trellis,latticework used to support climbing plants,noun,,2.59
anaphylaxis,hypersensitivity reaction to the ingestion or injection of a substance (a protein or drug) resulting from prior contact with a substance,noun,,2.59
paleolithic,"second part of the Stone Age beginning about 750,00 to 500,000 years BC and lasting until the end of the last ice age about 8,500 years BC",noun,,2.59
arsonist,a criminal who illegally sets fire to property,noun,,2.59
patrolman,a policeman who patrols a given region,noun,,2.59
tryptophan,an amino acid that occurs in proteins; is essential for growth and normal metabolism; a precursor of niacin,noun,,2.59
fretted,worry unnecessarily or excessively,verb,don't fuss too much over the grandchildren--they are quite big now,2.59
tactful,having or showing a sense of what is fitting and considerate in dealing with others,adj,she was tactful enough not to shatter his illusion,2.59
pullout,to break off a military action with an enemy,noun,,2.59
cutlass,a short heavy curved sword with one edge; formerly used by sailors,noun,,2.59
butterscotch,a hard brittle candy made with butter and brown sugar,noun,,2.59
linesman,"official (in tennis, soccer, football, etc.) who assists the referee in some way (especially by watching for out of bounds or offside)",noun,,2.59
sidestep,a step to one side (as in boxing or dancing),noun,,2.59
smokescreen,(military) screen consisting of a cloud of smoke that obscures movements,noun,,2.59
cymbal,a percussion instrument consisting of a concave brass disk; makes a loud crashing sound when hit with a drumstick or when two are struck together,noun,,2.59
disuse,the state of something that has been unused and neglected,noun,the house was in a terrible state of neglect,2.59
mugshot,a photograph of someone's face (especially one made for police records),noun,,2.59
insinuate,introduce or insert (oneself) in a subtle manner,verb,He insinuated himself into the conversation of the people at the nearby table,2.59
cherub,a sweet innocent baby,noun,,2.59
proofread,read for errors,verb,I should proofread my manuscripts,2.59
legume,an erect or climbing bean or pea plant of the family Leguminosae,noun,,2.59
subfamily,(biology) a taxonomic category below a family,noun,,2.59
denigrate,cause to seem less serious; play down,verb,Don't belittle his influence,2.59
bleacher,a worker who bleaches (cloth or flour etc.),noun,,2.59
carotene,an orange isomer of an unsaturated hydrocarbon found in many plants; is converted into vitamin A in the liver,noun,,2.59
memorization,learning so as to be able to remember verbatim,noun,the actor's memorization of his lines,2.59
usurper,one who wrongfully or illegally seizes and holds the place of another,noun,,2.59
courtly,refined or imposing in manner or appearance; befitting a royal court,adj,a courtly gentleman,2.59
exterminator,someone who exterminates (especially someone whose occupation is the extermination of troublesome rodents and insects),noun,,2.59
cesarean,the delivery of a fetus by surgical incision through the abdominal wall and uterus (from the belief that Julius Caesar was born that way),noun,,2.59
puppeteer,one who operates puppets or marionettes,noun,,2.59
unmodified,not changed in form or character,adj,,2.59
extradite,hand over to the authorities of another country,verb,They extradited the fugitive to his native country so he could be tried there,2.59
telco,a public utility that provides telephone service,noun,,2.59
ringleader,a person who leads (especially in illicit activities),noun,,2.59
pert,characterized by a lightly pert and exuberant quality,adj,a certain irreverent gaiety and ease of manner,2.59
wriggle,the act of wiggling,noun,,2.59
marinate,soak in marinade,verb,marinade herring,2.59
millisecond,one thousandth (10^-3) of a second,noun,,2.59
enumeration,a numbered list,noun,,2.59
unflinching,not shrinking from danger,adj,,2.59
caesarean,the delivery of a fetus by surgical incision through the abdominal wall and uterus (from the belief that Julius Caesar was born that way),noun,,2.59
malign,speak unfavorably about,verb,She badmouths her husband everywhere,2.59
rococo,fanciful but graceful asymmetric ornamentation in art and architecture that originated in France in the 18th century,noun,,2.59
scantily,in a sparse or scanty way,adv,a barely furnished room,2.59
stranglehold,complete power over a person or situation,noun,corporations have a stranglehold on the media,2.59
synchro,a system consisting of a generator and a motor so connected that the motor will assume the same relative position as the generator; the generator and the motor are synchronized,noun,,2.59
brownstone,a reddish brown sandstone; used in buildings,noun,,2.59
watchmaker,someone who makes or repairs watches,noun,,2.59
prat,the fleshy part of the human body that you sit on,noun,he deserves a good kick in the butt,2.59
tachycardia,abnormally rapid heartbeat (over 100 beats per minute),noun,,2.59
scurry,rushing about hastily in an undignified way,noun,,2.59
babbitt,an alloy of tin with some copper and antimony; a lining for bearings that reduces friction,noun,,2.59
purist,someone who insists on great precision and correctness (especially in the use of words),noun,,2.59
trafficker,someone who promotes or exchanges goods or services for money,noun,,2.59
vermouth,any of several white wines flavored with aromatic herbs; used as aperitifs or in mixed drinks,noun,,2.59
convener,the member of a group whose duty it is to convene meetings,noun,,2.59
biologic,pertaining to biology or to life and living things,adj,,2.59
infotainment,a film or TV program presenting the facts about a person or event,noun,,2.59
consumable,may be used up,adj,,2.59
radiography,the process of making a radiograph; producing an image on a radiosensitive surface by radiation other than visible light,noun,,2.59
hedonism,the pursuit of pleasure as a matter of ethical principle,noun,,2.59
fidget,a feeling of agitation expressed in continual motion,noun,he's got the fidgets,2.59
uninhibited,not inhibited or restrained,adj,uninhibited exuberance,2.59
snide,expressive of contempt,adj,curled his lip in a supercilious smile,2.59
caboose,the area for food preparation on a ship,noun,,2.59
theoretic,concerned primarily with theories or hypotheses rather than practical considerations,adj,theoretical science,2.59
detonator,a mechanical or electrical explosive device or a small amount of explosive; can be used to initiate the reaction of a disrupting explosive,noun,,2.59
existentialism,(philosophy) a 20th-century philosophical movement chiefly in Europe; assumes that people are entirely free and thus responsible for what they make of themselves,noun,,2.59
prelims,written matter preceding the main text of a book,noun,,2.59
shaper,a person who makes things,noun,,2.59
grouchy,annoyed and irritable,adj,,2.59
printout,the output of a computer in printed form,noun,,2.59
fastener,a person who fastens or makes fast,noun,he found the door fastened and wondered who the fastener was,2.59
workbench,a strong worktable for a carpenter or mechanic,noun,,2.59
bloodshot,(of an eye) reddened as a result of locally congested blood vessels; inflamed,adj,bloodshot eyes,2.59
whitefish,any market fish--edible saltwater fish or shellfish--except herring,noun,,2.59
tamarind,long-lived tropical evergreen tree with a spreading crown and feathery evergreen foliage and fragrant flowers yielding hard yellowish wood and long pods with edible chocolate-colored acidic pulp,noun,,2.59
stopwatch,a timepiece that can be started or stopped for exact timing (as of a race),noun,,2.59
sympathizer,commiserates with someone who has had misfortune,noun,,2.59
flippant,showing inappropriate levity,adj,,2.59
capote,a long overcoat with a hood that can be pulled over the head,noun,,2.59
confidante,a female confidant,noun,,2.59
iodide,a salt or ester of hydriodic acid,noun,,2.59
grownup,a fully developed person from maturity onward,noun,,2.59
