word,definition,pos,example,commonness_zipf
unstable,lacking stability or fixity or firmness,adj,unstable political conditions,3.87
transmitted,transfer to another,verb,communicate a disease,3.87
upstairs,the part of a building above the ground floor,noun,no one was allowed to see the upstairs,3.87
marsh,low-lying wet land with grassy vegetation; usually is a transition zone between land and water,noun,thousands of acres of marshland,3.87
backyard,the grounds in back of a house,noun,,3.87
underway,currently in progress,adj,there is mischief afoot,3.87
swallow,a small amount of liquid food,noun,a sup of ale,3.87
psychiatric,relating to or used in or engaged in the practice of psychiatry,adj,psychiatric disorder,3.87
unaware,(often followed by `of') not aware,adj,seemed unaware of the scrutiny,3.87
vague,not clearly understood or expressed; ; -Anatole Broyard; - P.A.Sorokin; - John Locke,adj,an obscure turn of phrase,3.87
dominate,"be larger in number, quantity, power, status or importance",verb,Money reigns supreme here,3.87
marshal,a law officer having duties similar to those of a sheriff in carrying out the judgments of a court of law,noun,,3.87
glen,a narrow secluded valley (in the mountains),noun,,3.87
distinguish,mark as different,verb,We distinguish several kinds of maple,3.87
unified,become one,verb,Germany unified officially in 1990,3.87
burke,British statesman famous for his oratory; pleaded the cause of the American colonists in British Parliament and defended the parliamentary system (1729-1797),noun,,3.87
prospective,of or concerned with or related to the future,adj,prospective earnings,3.87
unacceptable,not adequate to give satisfaction,adj,the coach told his players that defeat was unacceptable,3.87
extensively,in a widespread way,adv,oxidation ponds are extensively used for sewage treatment in the Midwest,3.87
salon,gallery where works of art can be displayed,noun,,3.87
repeal,the act of abrogating; an official or legal cancellation,noun,,3.87
sodium,a silvery soft waxy metallic element of the alkali metal group; occurs abundantly in natural compounds (especially in salt water); burns with a yellow flame and reacts violently in water; occurs in sea water and in the mineral halite (rock salt),noun,,3.87
maturity,the period of time in your life after your physical growth has stopped and you are fully developed,noun,,3.87
uncommon,not common or ordinarily encountered; unusually great in amount or remarkable in character or kind,adj,uncommon birds,3.87
dynasty,a sequence of powerful leaders in the same family,noun,,3.87
marker,some conspicuous object used to distinguish or mark something,noun,the buoys were markers for the channel,3.87
messy,dirty and disorderly,adj,a mussy fussy bedroom,3.87
informal,not formal,adj,conservative people unaccustomed to informal dress,3.87
billboard,large outdoor signboard,noun,,3.87
economist,an expert in the science of economics,noun,,3.87
hypothesis,a proposal intended to explain certain facts or observations,noun,,3.87
appetite,a feeling of craving something; ; - Granville Hicks,noun,an appetite for life,3.87
bully,a cruel and brutal fellow,noun,,3.87
seventeen,the cardinal number that is the sum of sixteen and one,noun,,3.87
consult,get or ask advice from,verb,Consult your local broker,3.87
abusive,expressing offensive reproach,adj,,3.87
roast,a piece of meat roasted or for roasting and of a size for slicing into more than one portion,noun,,3.87
beth,the 2nd letter of the Hebrew alphabet,noun,,3.87
ninja,a member of the ninja who were trained in martial arts and hired for espionage or sabotage or assassinations; a person skilled in ninjutsu,noun,,3.87
cunt,a person (usually but not necessarily a woman) who is thoroughly disliked,noun,she said her son thought Hillary was a bitch,3.87
systematic,characterized by order and planning,adj,the investigation was very systematic,3.87
processor,a business engaged in processing agricultural products and preparing them for market,noun,,3.87
calculate,make a mathematical calculation or computation,verb,,3.87
forehead,the part of the face above the eyes,noun,,3.87
illegally,in an illegal manner,adv,they dumped the waste illegally,3.87
rubbish,worthless material that is to be disposed of,noun,,3.87
heather,common Old World heath represented by many varieties; low evergreen grown widely in the northern hemisphere,noun,,3.87
forgiveness,compassionate feelings that support a willingness to forgive,noun,,3.87
regulate,"fix or adjust the time, amount, degree, or rate of",verb,regulate the temperature,3.87
promotional,of or relating to serving as publicity,adj,promotional fares,3.87
sovereignty,government free from external control,noun,,3.86
thrust,the force used in pushing,noun,the push of the water on the walls of the tank,3.86
logistics,handling an operation that involves providing labor and materials be supplied as needed,noun,,3.86
handbook,a concise reference book providing specific information about a subject or location,noun,,3.86
symbolic,relating to or using or proceeding by means of symbols,adj,symbolic logic,3.86
legion,archaic terms for army,noun,,3.86
fellowship,an association of people who share common beliefs or activities,noun,the message was addressed not just to employees but to every member of the company family,3.86
commodity,articles of commerce,noun,,3.86
fatigue,temporary loss of strength and energy resulting from hard physical or mental work,noun,he was hospitalized for extreme fatigue,3.86
yahoo,a person who is not very intelligent or interested in culture,noun,,3.86
maid,a female domestic,noun,,3.86
coupon,a negotiable certificate that can be detached and redeemed as needed,noun,,3.86
envelope,"a flat (usually rectangular) container for a letter, thin package, etc.",noun,,3.86
radius,the length of a line segment between the center and circumference of a circle or sphere,noun,,3.86
instinct,inborn pattern of behavior often responsive to specific stimuli,noun,the spawning instinct in salmon,3.86
mortal,a human being,noun,there was too much for one person to do,3.86
hardy,United States slapstick comedian who played the pompous and overbearing member of the Laurel and Hardy duo who made many films (1892-1957),noun,,3.86
fragile,easily broken or damaged or destroyed,adj,a kite too delicate to fly safely,3.86
autonomy,immunity from arbitrary exercise of authority: political independence,noun,,3.86
lively,full of life and energy,adj,a lively discussion,3.86
fictional,related to or involving literary fiction,adj,clever fictional devices,3.86
fulfill,put in effect,verb,carry out a task,3.86
nonprofit,an organization chartered for other than profit-making activities,noun,,3.86
taxpayer,someone who pays taxes,noun,,3.86
surf,waves breaking on the shore,noun,,3.86
relay,the act of passing something along from one person or group to another,noun,the relay was successful,3.86
lethal,of an instrument of certain death,adj,deadly poisons,3.86
sync,make synchronous and adjust in time or manner,verb,Let's synchronize our efforts,3.86
curtain,hanging cloth used as a blind (especially for a window),noun,,3.86
congressman,a member of the United States House of Representatives,noun,,3.86
fringe,the outside boundary or surface of something,noun,,3.86
correspondent,someone who communicates by means of letters,noun,,3.86
mindset,a habitual or characteristic mental attitude that determines how you will interpret and respond to situations,noun,,3.86
wheelchair,a movable chair mounted on large wheels; for invalids or those who cannot walk; frequently propelled by the occupant,noun,,3.86
coral,a variable color averaging a deep pink,noun,,3.86
lime,a caustic substance produced by heating limestone,noun,,3.86
operative,a person secretly employed in espionage for a government,noun,,3.86
antique,an elderly man,noun,,3.86
prompt,a cue given to a performer (usually the beginning of the next line to be spoken),noun,the audience could hear his prompting,3.86
correlation,a reciprocal relation between two or more things,noun,,3.86
judgement,the legal document stating the reasons for a judicial decision,noun,opinions are usually written by a single judge,3.86
carnival,a festival marked by merrymaking and processions,noun,,3.86
stunt,a difficult or unusual or dangerous feat; usually done to gain attention,noun,,3.86
whore,a woman who engages in sexual intercourse for money,noun,,3.86
mistress,an adulterous woman; a woman who has an ongoing extramarital sexual relationship with a man,noun,,3.86
abundance,the property of a more than adequate quantity or supply,noun,an age of abundance,3.86
behavioral,of or relating to behavior,adj,behavioral sciences,3.86
granite,plutonic igneous rock having visibly crystalline texture; generally composed of feldspar and mica and quartz,noun,,3.86
dough,a flour mixture stiff enough to knead or roll,noun,,3.86
pickup,a light truck with an open body and low sides and a tailboard,noun,,3.86
scroll,a round shape formed by a series of concentric circles (as formed by leaves or flower petals),noun,,3.86
sunlight,the rays of the sun,noun,the shingles were weathered by the sun and wind,3.86
fade,a golf shot that curves to the right for a right-handed golfer,noun,he took lessons to cure his slicing,3.86
irony,witty language used to convey insults or scorn; ; ; --Jonathan Swift,noun,he used sarcasm to upset his opponent,3.86
morality,concern with the distinction between good and evil or right and wrong; right or good conduct,noun,,3.86
referee,(sports) the chief official (as in boxing or American football) who is expected to ensure fair play,noun,,3.86
cooperative,a jointly owned commercial enterprise (usually organized by farmers or consumers) that produces and distributes goods and services and is run for the benefit of its owners,noun,,3.86
prestigious,having an illustrious reputation; respected,adj,our esteemed leader,3.86
breeze,a slight wind (usually refreshing),noun,the breeze was cooled by the lake,3.86
trilogy,a set of three literary or dramatic works related in subject or theme,noun,,3.86
dentist,a person qualified to practice dentistry,noun,,3.86
risen,move upward,verb,The fog lifted,3.86
judiciary,persons who administer justice,noun,,3.86
diagram,a drawing intended to explain how something works; a drawing showing the relation between the parts,noun,,3.85
favorable,encouraging or approving or pleasing,adj,a favorable reply,3.85
desirable,worth having or seeking or achieving,adj,a desirable job,3.85
tomato,mildly acid red or yellow pulpy fruit eaten as a vegetable,noun,,3.85
farther,more distant in especially space or time,adj,they live in the farther house,3.85
obscure,make less visible or unclear,verb,The stars are obscured by the clouds,3.85
brotherhood,the kinship relation between a male offspring and the siblings,noun,,3.85
cowboy,a hired hand who tends cattle and performs other duties on horseback,noun,,3.85
arbitrary,based on or subject to individual discretion or preference or sometimes impulse or caprice,adj,an arbitrary decision,3.85
allowance,an amount allowed or granted (as during a given period),noun,travel allowance,3.85
bait,anything that serves as an enticement,noun,,3.85
grandson,a male grandchild,noun,,3.85
constitute,form or compose,verb,This money is my only income,3.85
compilation,something that is compiled (as into a single book or file),noun,,3.85
builder,a substance added to soaps or detergents to increase their cleansing action,noun,,3.85
yell,a loud utterance; often in protest or opposition,noun,the speaker was interrupted by loud cries from the rear of the audience,3.85
correspondence,communication by the exchange of letters,noun,,3.85
carriage,a railcar where passengers ride,noun,,3.85
ivory,a hard smooth ivory colored dentine that makes up most of the tusks of elephants and walruses,noun,,3.85
manipulation,exerting shrewd or devious influence especially for one's own advantage,noun,his manipulation of his friends was scandalous,3.85
volleyball,a game in which two teams hit an inflated ball over a high net using their hands,noun,,3.85
spinal,anesthesia of the lower half of the body; caused by injury to the spinal cord or by injecting an anesthetic beneath the arachnoid membrane that surrounds the spinal cord,noun,,3.85
genesis,a coming into being,noun,,3.85
uranium,a heavy toxic silvery-white radioactive metallic element; occurs in many isotopes; used for nuclear fuels and nuclear weapons,noun,,3.85
lengthy,relatively long in duration; tediously protracted,adj,a drawn-out argument,3.85
blogger,a person who keeps and updates a blog,noun,,3.85
composer,someone who composes music as a profession,noun,,3.85
necklace,jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women),noun,,3.85
splash,the sound like water splashing,noun,,3.85
autonomous,(of political bodies) not controlled by outside forces,adj,an autonomous judiciary,3.85
kirk,a Scottish church,noun,,3.85
therapeutic,a medicine or therapy that cures disease or relieve pain,noun,,3.85
niche,a position particularly well suited to the person who occupies it,noun,he found his niche in the academic world,3.85
bark,tough protective covering of the woody stems and roots of trees and other woody plants,noun,,3.85
incomplete,not complete or total; not completed,adj,an incomplete account of his life,3.85
feminism,a doctrine that advocates equal rights for women,noun,,3.85
para,(obstetrics) the number of liveborn children a woman has delivered,noun,the parity of the mother must be considered,3.85
governmental,relating to or dealing with the affairs or structure of government or politics or the state,adj,governmental policy,3.85
secondly,in the second place,adv,"second, we must consider the economy",3.85
geographical,of or relating to the science of geography,adj,,3.85
comp,an intensive examination testing a student's proficiency in some special field of knowledge,noun,she took her comps in English literature,3.85
